"key","en","es"
"Day 117, We are still stuck in the space void.","Day 117, We are still stuck in the space void.","Día 117, ¡y seguimos perdidos en la inmensidad del espacio!"
"According to our calculations, the food reserves will allow you to survive for another...15 hours...","According to our calculations, the food reserves will allow you to survive for another...15 hours...","Nuestros cálculos indican que las reservas de alimentos solo alcanzarán para 15 horas más."
"Good luck.","Good luck.","¡Mucha suerte!"
"Attention!!! The new arrival of space meteor has been caught by the slurp system.","Attention!!! The new arrival of space meteor has been caught by the slurp system.","¡Alerta! Un meteorito espacial recién llegado ha sido atrapado por nuestro sistema de succión."
"That's  just some space scrap.","That's  just some space scrap.","Es simplemente un trozo de chatarra espacial."
"Throw it into the quantum black hole interstellar trashcan on the left.","Throw it into the quantum black hole interstellar trashcan on the left.","Métela en el agujero negro de basura espacial que está ahí a la izquierda."
"Hey mate, I know you're still up. I found some cool stuff in the warehouse, so I hid it in the brick room to keep it a secret.","Hey mate, I know you're still up. I found some cool stuff in the warehouse, so I hid it in the brick room to keep it a secret.","Oye amigo, sé que todavía estás despierto. Encontré algunas cosas geniales en el almacén, así que las escondí en la sala de ladrillos para mantenerlo en secreto."
"Clean up the bricks and put them into buckets according to their colors and you will find them.","Clean up the bricks and put them into buckets according to their colors and you will find them.","Recoge los ladrillos, sepáralos por colores y ponlos en cubos. Así los encontrarás fácilmente."
"It's the legendary candies. Hope you enjoy it! ","It's the legendary candies. Hope you enjoy it! ","¡Son los dulces de leyenda! ¡Disfrútalos!"
"Attention!! New arrivals of space mateor","Attention!! New arrivals of space mateor.","¡Ojo! ¡Están cayendo meteoritos del espacio!"
"This one is too big for the quantum black hole interstellar trashcan","This one is too big for the quantum black hole interstellar trashcan.","Este objeto supera en tamaño a la papelera interestelar de agujeros negros cuánticos."
"Grab a new disintergrater.","Grab a new disintergrater.","Agarra un desintegrador nuevo."
"What a sparking enormously!","What a sparking enormously!","¡Qué tormenta eléctrica tan intensa!"
"Interesting! We need further informations.","Interesting! We need further informations.","¡Muy interesante! Necesitamos más detalles."
"Place it into the dual nuclear apectrum analyzer.","Place it into the dual nuclear apectrum analyzer.","Deposite la muestra en el analizador de espectro nuclear dual."
"Congratulation, you found a new energy source.","Congratulation, you found a new energy source.","¡Enhorabuena! Tu descubrimiento de una nueva fuente de energía es un gran logro."
"According to my calculation, that's enough to power the beer cooler or restart the engines.","According to my calculation, that's enough to power the beer cooler or restart the engines.","Según mis números, con eso alcanza para poner a andar la heladera de cerveza o volver a encender los motores."
"Your choice.","Your choice.","Tú decides."
"Door's unlocked.","Door's unlocked.","La puerta está desbloqueada."
"Reached the space teleportator ahead.","Reached the space teleportator ahead.","Objetivo cumplido: hemos llegado al teletransportador espacial."
"As you forgot to use the plasmin eletric chocolate chill, avoid the asteoroids or you will die.","As you forgot to use the plasmin eletric chocolate chill, avoid the asteoroids or you will die.","Por no utilizar el enfriador eléctrico de chocolate de plasmina, desvía tu curso y huye de los asteroides, ¡o será tu perdición!"
"Congratulations. That did work. hahahaha","Congratulations. That did work. hahahaha","¡Qué bien! ¡Lo conseguimos! jajaja"
"Start","Start","Inicio"
"Options","Options","Opciones"
"About","About","Acerca de"
"Quit","Quit","Dejar"
"Turn","Turn","Giro"
"Snap","Snap","Giro rápido"
"Subtitle","Subtitle","Subtítulo"
"Save","Save","Guardar"
"Close","Close","Cerrar"
"game description","Space Exodus is a game set in a future where Earth is uninhabitable due to excessive waste. Humanity has embarked on a space voyage to find a new home, but their spaceship loses power early in the journey. Players take on the role of crew members responsible for managing the ship's limited energy and navigating through space. The goal of the game is to find a habitable planet by utilizing space debris to power a wormhole. With time running out and the fate of humanity at stake, players must make critical decisions to ensure survival.","Space Exodus es un juego ambientado en un futuro donde la Tierra se ha vuelto inhabitable debido a la acumulación excesiva de residuos. La humanidad ha emprendido un viaje espacial para encontrar un nuevo hogar, pero su nave espacial se queda sin energía al poco de comenzar el viaje. Los jugadores asumen el papel de miembros de la tripulación responsables de gestionar la energía limitada de la nave y navegar por el espacio. El objetivo del juego es encontrar un planeta habitable utilizando los desechos espaciales para alimentar un agujero de gusano. Con el tiempo corriendo en contra y el destino de la humanidad en juego, los jugadores deben tomar decisiones cruciales para asegurar la supervivencia."
"RESUME","RESUME","CV"
"MENU","MENU","Menú"
"PlayTime","Play Time:","Hora de jugar:"
"Language","Language","Lengua"
